"chr","Chromosome.length","Total.windows","Repeat.windows","Missing.windows","Final.windows"
"1",195471971,19548,7077,358,12113
"10",130694993,13070,4192,368,8510
"11",122082543,12209,3178,340,8691
"12",120129022,12013,3873,457,7683
"13",120421639,12043,3935,351,7757
"14",124902244,12491,4076,714,7701
"15",104043685,10405,3189,340,6876
"16",98207768,9821,3049,321,6451
"17",94987271,9499,3156,340,6003
"18",90702639,9071,2866,332,5873
"19",61431566,6144,1643,326,4175
"2",182113224,18212,5377,420,12415
"3",160039680,16004,5891,383,9730
"4",156508116,15651,5730,533,9388
"5",151834684,15184,4849,444,9891
"6",149736546,14974,5051,361,9562
"7",145441459,14545,5575,520,8450
"8",129401213,12941,3764,414,8763
"9",124595110,12460,3685,347,8428
"X",171031299,17104,10377,989,5738
"Total",2633776672,263389,90533,8658,164198
