"replicate","win1","win2","rf","wrf","spr","kf","path"
1,"chr4:142170001-142180000","chr5:51560001-51570000",0,0.0621050587,0,0.0289919679443003,0
1,"chr11:42670001-42680000","chr4:145540001-145550000",6,0.1436004911,1,0.0558888591496669,7.61577310586391
1,"chr3:144600001-144610000","chr9:50260001-50270000",6,0.064441689,1,0.0212190094073524,6.6332495807108
1,"chr7:144510001-144520000","chr4:145090001-145100000",4,0.1005235352,1,0.0336722198430818,4
1,"chr10:19440001-19450000","chr9:96290001-96300000",6,0.116081526,2,0.0415023305122269,5.47722557505166
1,"chr5:97240001-97250000","chr3:118690001-118700000",6,0.0656176364,2,0.0244179442498433,6.6332495807108
1,"chr2:76570001-76580000","chr11:120140001-120150000",2,0.1198213644,1,0.0412194837797277,3.16227766016838
1,"chr9:53070001-53080000","chr17:34670001-34680000",4,0.161946763,1,0.0540001464623581,5.09901951359278
1,"chr7:131780001-131790000","chr9:10750001-10760000",6,0.1116449617,2,0.0350732411323301,6
1,"chr2:28780001-28790000","chr18:38340001-38350000",6,0.0601092309,2,0.0213440977664212,5.47722557505166
1,"chr8:119720001-119730000","chr1:14050001-14060000",6,0.0835086662,1,0.0265101802031166,6
1,"chr4:152390001-152400000","chr18:23780001-23790000",4,0.0859495553,2,0.0278437211789967,4.69041575982343
1,"chr7:105170001-105180000","chr3:92210001-92220000",0,0.2041191424,0,0.0770664971655954,0
1,"chr10:60370001-60380000","chr6:86670001-86680000",0,0.0851548044,0,0.0308884890566919,0
1,"chr12:94590001-94600000","chr9:28040001-28050000",2,0.1894268936,1,0.0725297288598176,3.16227766016838
1,"chr6:6340001-6350000","chr1:106610001-106620000",2,0.1176611539,1,0.0381263051380662,3.46410161513775
1,"chr4:46660001-46670000","chr6:118700001-118710000",2,0.1600698131,1,0.0530464760916941,3.46410161513775
1,"chr13:25290001-25300000","chr3:150490001-150500000",6,0.0863651172,2,0.0327905505804367,7.07106781186548
1,"chr13:32000001-32010000","chr3:142220001-142230000",4,0.0850033666,2,0.0266071744112082,4.47213595499958
1,"chr19:19430001-19440000","chr15:57080001-57090000",4,0.0805705673,1,0.032843763390578,4.69041575982343
1,"chr8:87750001-87760000","chr2:83160001-83170000",4,0.0990251985,1,0.0324257029432238,4.69041575982343
1,"chr8:104130001-104140000","chr12:106710001-106720000",2,0.0700038752,1,0.0220194453835166,3.16227766016838
1,"chr2:88760001-88770000","chr8:64800001-64810000",2,0.0331305008,1,0.0117827078609037,3.46410161513775
1,"chr4:148140001-148150000","chr5:96030001-96040000",2,0.0741556795,1,0.0244309255083361,3.16227766016838
1,"chr5:92380001-92390000","chr17:41200001-41210000",6,0.1122204495,2,0.0365703624142934,6
1,"chr2:129060001-129070000","chr8:11420001-11430000",6,0.0678502233,2,0.0215764895463701,6
1,"chr14:89560001-89570000","chr3:125840001-125850000",0,0.1252247243,0,0.0468972255461895,0
1,"chr10:37140001-37150000","chr17:75640001-75650000",6,0.1144511236,2,0.0363159945634123,5.29150262212918
1,"chr7:131880001-131890000","chr14:39110001-39120000",2,0.0660163759,1,0.0214258665074069,3.16227766016838
1,"chr4:18870001-18880000","chr2:117410001-117420000",8,0.1194932008,2,0.0376917068100478,8
1,"chr4:64530001-64540000","chr12:77640001-77650000",2,0.0940603056,1,0.0389891456260337,3.16227766016838
1,"chr18:59780001-59790000","chr1:155850001-155860000",4,0.1231359183,1,0.0540021891853868,4.47213595499958
1,"chr3:122200001-122210000","chr6:80180001-80190000",2,0.1302950228,1,0.0537399468937291,3.16227766016838
1,"chr9:38260001-38270000","chr3:90070001-90080000",4,0.0748480114,1,0.0321116078689566,5.09901951359278
1,"chr6:80220001-80230000","chr9:16310001-16320000",2,0.0673016714,1,0.0236357062164114,3.46410161513775
1,"chr1:179360001-179370000","chr16:84520001-84530000",6,0.1345232736,2,0.043392370460408,6.48074069840786
1,"chr4:29530001-29540000","chr6:113240001-113250000",4,0.0934682439,2,0.040784817501482,4.69041575982343
1,"chr4:76180001-76190000","chr3:127550001-127560000",8,0.1199355591,2,0.042895868133598,8.60232526704263
1,"chr6:42440001-42450000","chr1:135790001-135800000",4,0.0829016385,2,0.0293176242027316,4.69041575982343
1,"chr4:36440001-36450000","chr1:159320001-159330000",6,0.095449233,2,0.0380218022909017,6
1,"chr7:133950001-133960000","chr6:27770001-27780000",0,0.0678866119,0,0.0267174559375315,0
1,"chr5:89360001-89370000","chr15:34400001-34410000",0,0.0479107735,0,0.0165555260852898,0
1,"chr17:61760001-61770000","chr10:91550001-91560000",2,0.1485634632,1,0.0587056092785828,3.16227766016838
1,"chr6:50770001-50780000","chr19:60330001-60340000",4,0.0428662267,1,0.0149458249528691,4
1,"chr11:65870001-65880000","chr13:57310001-57320000",8,0.1177625772,2,0.0421797539164724,6.92820323027551
1,"chr19:47510001-47520000","chrX:99470001-99480000",4,0.0868682323,1,0.0318234512323772,4.69041575982343
1,"chr4:128230001-128240000","chr7:81950001-81960000",2,0.0751618038,1,0.0282134779182775,3.16227766016838
1,"chr7:114810001-114820000","chr18:11330001-11340000",4,0.1402546193,2,0.0462561165005504,4.47213595499958
1,"chr5:26950001-26960000","chr6:52110001-52120000",6,0.1606241746,2,0.0593953454673135,6
1,"chr1:180780001-180790000","chr10:103440001-103450000",2,0.0647701951,1,0.0253507100303983,3.46410161513775
1,"chr11:100040001-100050000","chr12:87760001-87770000",6,0.1925094021,1,0.0686342490636727,7.07106781186548
1,"chr3:106270001-106280000","chr13:115520001-115530000",8,0.0740453819,2,0.0326303845211688,7.48331477354788
1,"chr14:58270001-58280000","chr5:106570001-106580000",0,0.0711752397,0,0.0308203539133723,0
1,"chr14:48940001-48950000","chr10:56590001-56600000",0,0.087851661,0,0.0355919720661051,0
1,"chrX:47090001-47100000","chr17:41490001-41500000",4,0.0619902334,1,0.0264232761771489,5.09901951359278
1,"chr15:87620001-87630000","chr6:59210001-59220000",4,0.0903901479,1,0.0335439705793112,4.69041575982343
1,"chr19:38970001-38980000","chr5:150510001-150520000",6,0.0633512943,1,0.0249586528283943,7.48331477354788
