"window","mean.pairwise.wrf","first.last.wrf","first.last.dist","decay.to.first","num.trees","num.uniq.trees","marker.slopes","recomb.level"
"chr1:3000001-4000000",NA,0.239965580230049,770000,-0.0108940020955306,37,20,NA,NA
"chr1:4000001-5000000",NA,0.398512133932016,960000,0.0203499672758323,44,20,2.07273184315523e-07,NA
"chr1:5000001-6000000",NA,0.33981199764094,940000,0.0177300249467905,17,12,NA,NA
"chr1:6000001-7000000",NA,0.394328005025212,880000,0.00180443679210012,39,20,2.16153205320746e-07,NA
"chr1:7000001-8000000",NA,0.288946872279087,880000,-0.0538982519879713,24,17,0,NA
"chr1:8000001-9000000",NA,0.737930068192451,910000,0.0162629991961965,17,15,0,NA
"chr1:9000001-10000000",NA,0.183902320341862,970000,0.00436453059202166,50,19,8.41008170054879e-08,NA
"chr1:10000001-11000000",NA,0.300718244812051,990000,0.017634540744246,49,23,2.61827131983788e-07,NA
"chr1:11000001-12000000",NA,0.219393516296546,990000,0.00667555343380761,56,28,7.72489034093212e-08,NA
"chr1:12000001-13000000",NA,0.369518843917618,990000,-0.00943569451762687,57,21,1.26163032957299e-06,NA
"chr1:13000001-14000000",NA,0.304798045902707,980000,0.0253334348605435,64,28,2.89436432049112e-07,NA
"chr1:14000001-15000000",NA,0.21003987089312,920000,-0.00141083599468418,65,22,3.05352829094107e-07,NA
"chr1:15000001-16000000",NA,0.319913363021813,960000,0.00140765171104866,54,23,8.92542641070774e-07,NA
"chr1:16000001-17000000",NA,0.191011266763402,940000,0.00632892201780445,45,23,NA,NA
"chr1:17000001-18000000",NA,0.930573605377612,990000,0.0313058128875635,34,22,NA,NA
"chr1:18000001-19000000",NA,0.717691191598297,950000,0.0602642089368443,43,29,NA,NA
"chr1:19000001-20000000",NA,0.289951132776308,940000,-0.0108335267314003,62,25,0,NA
"chr1:20000001-21000000",NA,0.209360855517505,980000,-0.0137795210088047,60,21,2.62904069764147e-07,NA
"chr1:21000001-22000000",NA,0.332358299520958,970000,-0.0214845876421192,77,25,1.81033303497056e-06,NA
"chr1:22000001-23000000",NA,0.290642210421071,960000,0.00113744404274977,59,23,3.29273653938058e-07,NA
"chr1:23000001-24000000",NA,0.240969822896146,920000,0.01446882309112,60,20,NA,NA
"chr1:24000001-25000000",NA,0.329851795665124,920000,0.00464740486260577,65,22,NA,NA
"chr1:25000001-26000000",NA,0.315030636959684,970000,-0.0101572842032853,76,22,NA,NA
"chr1:26000001-27000000",NA,0.241935955861133,940000,0.0216023006479347,44,27,1.80572091961492e-07,NA
"chr1:27000001-28000000",NA,0.438993283808188,940000,0.0228426120822604,34,21,NA,NA
"chr1:28000001-29000000",NA,0.355189274282455,970000,0.0128356301715933,53,32,NA,NA
"chr1:29000001-30000000",NA,0.448586313829159,920000,0.0398439857183557,38,23,0,NA
"chr1:30000001-31000000",NA,0.336428063016048,940000,-0.000617497684578974,40,24,NA,NA
"chr1:31000001-32000000",NA,0.278214986292357,980000,0.0182273802179157,36,19,NA,NA
"chr1:32000001-33000000",NA,0.320315432266851,980000,0.0170948404170257,68,30,1.29814853186527e-06,NA
"chr1:33000001-34000000",NA,0.277838771081035,970000,0.0342995631956608,61,25,NA,NA
